"Country","State","Population"
"Algeria","AL",43851044
"Angola","AN",32866272
"Benin","BE",12123200
"Botswana","BO",2351627
"Burkina Faso","BF",20903273
"Burundi","BU",11890784
"Cameroon","CA",26545863
"Cape Verde","CV",555987
"Central African Republic","CAR",4829767
"Chad","CH",16425864
"Comoros","CO",869601
"Congo","CN",5518087
"Djibouti","DJ",988000
"DR Congo","DRC",89561403
"Egypt","EGT",102334404
"Equatorial Guinea","EG",1402985
"Eritrea","ER",3546421
"Ethiopia","ET",114963588
"Gabon","GAB",2225734
"Gambia","GAM",2416668
"Ghana","GH",31072940
"Guinea","GU",13132795
"Guinea-Bissau","GB",1968001
"Ivory Coast","IV",26378274
"Kenya","KE",53771296
"La Reunion","LR",895312
"Lesotho","LE",2142249
"Liberia","LIB",5057681
"Libya","LIY",6871292
"Madagascar","MAD",27691018
"Malawi","MAL",19129952
"Mali","MLI",20250833
"Mauritania","MAU",4649658
"Mauritius","MAUT",1271768
"Morocco","MOR",36910560
"Mozambique","MOZ",31255435
"Namibia","NAM",2540905
"Niger","NI",24206644
"Nigeria","NIG",206139589
"Rwanda","RW",12952218
"Sao Tome and Principe","STP",219159
"Senegal","SEN",16743927
"Seychelles","SEY",98347
"Sierra Leone","SL",7976983
"Somalia","SO",15893222
"South Africa","SA",59308690
"South Sudan","SS",11193725
"Sudan","SU",43849260
"Swaziland","SW",272815
"Tanzania","TA",59734218
"Togo","TO",8278724
"Tunisia","TU",11818619
"Uganda","UG",45741007
"Western Sahara","WZ",597339
"Zambia","ZA",18383955
"Zimbabwe","ZI",14862924
